Sr_No,Location_Coordinates,Location,Hospital_Name,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Address_Original_First_Line,State,District,Subdistrict,Pincode,Telephone,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Total_Num_Beds,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID
6203,NA,"310, Sanket Complex, Above Hdfc Bank, Near Grid",Kiran Eye Clinic,0,0,0,"310, Sanket Complex, Above Hdfc Bank, Near Grid",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6204,NA,"1,Nandini Society,Near Sanjay Park Flat-D Cabin",Mahavir Clinic and Nursing Home,0,0,0,"1,Nandini Society,Near Sanjay Park Flat-D Cabin",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6205,NA,"1St Floor, Nariman Complex, Opp- Laxmi Talkies, Juna Rasta",Mahavir Eye Hospital ( Phaco and Laser Centre ),0,0,0,"1St Floor, Nariman Complex, Opp- Laxmi Talkies, Juna Rasta",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6206,NA,"Nr Yogi Petrol Pump, Bhalej Road",Manan Hospital,0,0,0,"Nr Yogi Petrol Pump, Bhalej Road",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6207,NA,"Ajanta House, Mayfair Road",Mangalya Eye Hospital,0,0,0,"Ajanta House, Mayfair Road",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6208,NA,"Nr. Vendor Cross Road, Opposite Swastik Society",Meera Surgical Hospital,0,0,0,"Nr. Vendor Cross Road, Opposite Swastik Society",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6209,NA,"Subhlaxmi Shopping Centre, Station Road",Mihir Hospital,0,0,0,"Subhlaxmi Shopping Centre, Station Road",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6210,NA,"Morlee Point,1St Floor Bavaji Niwas OppositeGaopal Tal;Kies Station Roade,Anand",Morlee Medical Hospital,0,0,0,"Morlee Point,1St Floor Bavaji Niwas OppositeGaopal Tal;Kies Station Roade",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6211,"20.7681448, 72.9730662","Near Laxmi Cinema,Anand",Navin Maternity and Surgical Nursing Home,0,0,0,Near Laxmi Cinema,Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6212,NA,"Opp Yogi Petrol Pump, Bhalej Road",Navjivan Orthopaedic Hospital,0,0,0,"Opp Yogi Petrol Pump, Bhalej Road",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6213,NA,C P Commerce Char Raasta Bhalej Road,Navjyot Eye Hospital,0,0,0,C P Commerce Char Raasta Bhalej Road,Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6214,NA,"Opposite Mercantile Bank, Near Pioneer High School",Nina Surgical Nursing and Maternity Home,0,0,0,"Opposite Mercantile Bank, Near Pioneer High School",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6215,NA,Opposite Old Dsp Office Dr Cook Marg,Nishant Eye Hospital and Retina Centre,0,0,0,Opposite Old Dsp Office Dr Cook Marg,Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,02692  259887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6216,"22.470375, 72.9484917",Anand,P.P.U Anand,0,0,0,,Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6217,"22.5662211, 72.9619717",Bhalej Road,Palak Hospital,0,0,0,Bhalej Road,Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6218,NA,"Near Panjab National Bank, Nayapadkar Road",Parimal Nursing Home,0,0,0,"Near Panjab National Bank, Nayapadkar Road",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6219,NA,"First Floor, Rangoli Complex, B/H. Pioneer School, Bhalej Road",Parul Hospital,0,0,0,"First Floor, Rangoli Complex, B/H. Pioneer School, Bhalej Road",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6220,NA,"1St Floor, Commerce Centre, Gopal Talkies Crossing",Prernaa Hospital,0,0,0,"1St Floor, Commerce Centre, Gopal Talkies Crossing",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6221,NA,"1St Floor,Rangoli Complex,Opposite Pioneer Shooping Centre, Bhalej Road,Anand",Priya Nursing Home,0,0,0,"1St Floor,Rangoli Complex,Opposite Pioneer Shooping Centre, Bhalej Road",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6222,NA,Dr Cook Road,Purohit Orthopaedic Hospital,0,0,0,Dr Cook Road,Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6223,NA,Krishna Road,Raj Nursing Home,0,0,0,Krishna Road,Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6224,"22.5612734, 72.9618316",Mahavir Marg,Rajal Surgical Hospital,0,0,0,Mahavir Marg,Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6225,NA,"Opp Old C K Hall, Mayfair Road, Near Union Bank, Opposite Income Tax Office",Ruchi Orthopaedic Hospital,0,0,0,"Opp Old C K Hall, Mayfair Road, Near Union Bank, Opposite Income Tax Office",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6226,NA,"Mahavir Chambers, Mahavir Marg,Off. Bhalej Road",Rutu General Hospital,0,0,0,"Mahavir Chambers, Mahavir Marg,Off. Bhalej Road",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6227,NA,"R.S. Chambers, Opposite Bhathiji Temple, Juna Rasta",Saarathi Medical and Diabetes Hospital,0,0,0,"R.S. Chambers, Opposite Bhathiji Temple, Juna Rasta",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6228,NA,"1St Floor, R. S. Chambers, Opposite Bhathiji Mandir, Juna Rasta",Santram Surgical And Urological Centre,0,0,0,"1St Floor, R. S. Chambers, Opposite Bhathiji Mandir, Juna Rasta",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6229,NA,"Patel Colony, Opposite Dr Rajesh Thakar, Mahavir Road, Nr Bhalej Road",Sarla Maternity Nursing Home,0,0,0,"Patel Colony, Opposite Dr Rajesh Thakar, Mahavir Road, Nr Bhalej Road",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6230,NA,Mayfair Orad,Setu Psychiatric Hospital,0,0,0,Mayfair Orad,Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6231,NA,"Opp Nagrik Bank,Borsad",Shishu Mangal Hospital,0,0,0,"Opp Nagrik Bank,Borsad",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6232,NA,"14-A, Patel Colony,Mahavir Marg",Shrddha Hospital,0,0,0,"#14-A, Patel Colony,Mahavir Marg",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,26323342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6233,NA,Near Amul Dairy,Shree Rang Avadhut Lakva Kendra,0,0,0,Near Amul Dairy,Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6234,NA,"Maruti Complex, Opposite S T Stand, Kahmbhat",Shree Sahajanand Hospital,0,0,0,"Maruti Complex, Opposite S T Stand, Kahmbhat",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6235,NA,"2Nd Sun House, Mayfair Road, Above Rajvi Children Hosptial, Nr Yogesh Khaman",Shreeji Psychiatric Hospital,0,0,0,"2Nd Sun House, Mayfair Road, Above Rajvi Children Hosptial, Nr Yogesh Khaman",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6236,"22.5645175, 72.928871","Mahavir Chowk,Anand",Sisodia Orthopaedic Hospital,0,0,0,Mahavir Chowk,Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6237,"22.5611072, 72.9600274","Patel Coliny,Mahavir Rd",Smit Orthopaedic Hospital,0,0,0,"Patel Coliny,Mahavir Rd",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6238,NA,"Near Pioneer High School, Beside Markentile Bank, Vendor Crossing",Spandan Chest Hospital,0,0,0,"Near Pioneer High School, Beside Markentile Bank, Vendor Crossing",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6239,NA,"R & A Chambers, Laxmi Talkies Crossing, Nr. Ford Tractor",Surgi Care Hospital,0,0,0,"R & A Chambers, Laxmi Talkies Crossing, Nr. Ford Tractor",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6240,NA,"Near Pioneer High School, Maharshi Dayanand Road",Suvidha Nursing Home,0,0,0,"Near Pioneer High School, Maharshi Dayanand Road",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6241,NA,OppositeDsp Office,Usha Nursing Home,0,0,0,OppositeDsp Office,Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6242,NA,"Nr. Pappu Hospital, Vendor Char Rasta",Vishwas Ortho and Trama Care,0,0,0,"Nr. Pappu Hospital, Vendor Char Rasta",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6243,"22.5621714, 72.964338",Polson Road,Zakaria Sarvajanik Hospital,0,0,0,Polson Road,Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6244,NA,"Anand Lambhvel Road,Near Indra Gandhi Statue",Zydus Hospital,0,0,0,"Anand Lambhvel Road,Near Indra Gandhi Statue",Gujarat,Anand,0,388001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6245,"22.3795396, 73.0005591","Opposite Bus Stand,Anklav,Anand",Navjivan Hospital and Shraddha Sonography Centre,0,0,0,"Opposite Bus Stand,Anklav",Gujarat,Anand,0,388110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6246,NA,"1St Floor, Shiv-Shakti Complex, OppositeVaibhav Cinema, V.V.Nagar, -Anand",Aaradhana Hospital and Maternity Home,0,0,0,"1St Floor, Shiv-Shakti Complex, OppositeVaibhav Cinema, V.V.Nagar",Gujarat,Anand,0,388120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6247,"22.5476561, 72.9251379",",V.V. Nagar",Late Sarpanch V.P. Patel Memorial Hospital. Municipal Borough Hospital,0,0,0,V.V. Nagar,Gujarat,Anand,0,388120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6248,NA,"Late Sarpanhc Shree Vinubhai Purshotam Das Patel Memorial Hospital, Nana Bazar, Vallabh Vidyanagar",Nagar Palika Hospital,0,0,0,"Late Sarpanhc Shree Vinubhai Purshotam Das Patel Memorial Hospital, Nana Bazar, Vallabh Vidyanagar",Gujarat,Anand,0,388120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6249,"22.5476561, 72.9251379",New V. V. Nagar,S. G. Patel Ayurveda Hospital,0,0,0,New V. V. Nagar,Gujarat,Anand,0,388121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6250,"22.4836145, 72.801351","Dharmaj, Ta. Petlad",Shree Jalaram Janseva Trust.,0,0,0,"Dharmaj, Ta. Petlad",Gujarat,Anand,0,388150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6251,NA,Vasantpura,Jalaram Gen and Eye Hospital,0,0,0,Vasantpura,Gujarat,Anand,0,388160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6252,"22.4888038, 72.6579865",Tarapur,CHC Tarapur,0,0,0,Tarapur,Gujarat,Anand,0,388180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6253,"22.4888038, 72.6579865",Tarapur,Jamna Hospial,0,0,0,Tarapur,Gujarat,Anand,0,388180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6254,NA,"B/H Ashok Tailor,Nr. Gayatri Nager.Tarapur",Mirani Maternity and Nursing Home,0,0,0,"B/H Ashok Tailor,Nr. Gayatri Nager.Tarapur",Gujarat,Anand,0,388180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6255,"22.5330654, 72.797231","Tarapur-Borsad Highway, Tarapur",Saadat Sarvajanik and Maternity Home,0,0,0,"Tarapur-Borsad Highway, Tarapur",Gujarat,Anand,0,388180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6256,"22.6236638, 73.1143067",Ode,CHC Ode,0,0,0,Ode,Gujarat,Anand,0,388210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6257,"22.698717, 73.1143067",Umreth,CHC Umreth,0,0,0,Umreth,Gujarat,Anand,0,388220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6258,NA,"Kind Att : Mr. Vimal Sing (Cashless Dept.) Gokalnagar,Karamsad,Near Sardar Patel Memorial Trust,-Anand",Shree Krishna Hospital,0,0,0,"Kind Att : Mr. Vimal Sing (Cashless Dept.) Gokalnagar,Karamsad,Near Sardar Patel Memorial Trust",Gujarat,Anand,0,388325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6259,NA,"Mogar Village Nh 8, Taluka",Sankara Eye Hospital (Anand),0,0,0,"Mogar Village Nh 8, Taluka",Gujarat,Anand,0,388340,0,0,0,0,0,0,0,0,02692   280450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6260,"22.5488076, 73.0832541",Sarsa,CHC Sarsa,0,0,0,Sarsa,Gujarat,Anand,0,388365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6261,"22.4153201, 72.7895065",Dharmaj,CHC -Dharmaj,0,0,0,Dharmaj,Gujarat,Anand,0,388430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6262,NA,"1St Floor, Station Road, Opposite Petrol Pump, Petlad",Arushi Ent Surgical Hospital,0,0,0,"1St Floor, Station Road, Opposite Petrol Pump, Petlad",Gujarat,Anand,0,388450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6263,"22.4836145, 72.801351",Petlad,Ashish Surgical Hospital,0,0,0,Petlad,Gujarat,Anand,0,388450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6264,NA,"Near Sargam Cinema, Station Road, Petlad",Gagan Hospital,0,0,0,"Near Sargam Cinema, Station Road, Petlad",Gujarat,Anand,0,388450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6265,"22.4836145, 72.801351","Station Road, Petlad",Ishita Hospital and Sonography Centre,0,0,0,"Station Road, Petlad",Gujarat,Anand,0,388450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6266,NA,"Jigar Associates, C/ O Dr. G. K Patel, College Road Petlad",Navjivan Hospital and Sonography Clinic,0,0,0,"Jigar Associates, C/ O Dr. G. K Patel , College Road , Petlad",Gujarat,Anand,0,388450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6267,NA,"G- 8,  Patel Market, Station Road, Petlad",Pranav Children Hospital,0,0,0,"G- 8,  Patel Market, Station Road, Petlad",Gujarat,Anand,0,388450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6268,"22.4704298, 72.8046804",Petlad,S.S.H Petlad,0,0,0,Petlad,Gujarat,Anand,0,388450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6269,NA,"Petlad, : Kheda",Shreyash Eye Hospital,0,0,0,"Petlad, Kheda",Gujarat,Anand,0,388450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6270,"22.4836145, 72.801351",Petlad,Tapan Hospital,0,0,0,Petlad,Gujarat,Anand,0,388450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6271,"22.5319344, 72.7936356","Anand Sojitra Road, Sunav",Sunav Hospital,0,0,0,"Anand Sojitra Road, Sunav",Gujarat,Anand,0,388470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6272,"22.3868748, 72.9958886",Anklav,CHC Anklav,0,0,0,Anklav,Gujarat,Anand,0,388510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6273,"22.377476, 72.9992013",Anklav,Rajdeep General Hospital,0,0,0,Anklav,Gujarat,Anand,0,388510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6274,NA,"Surya Mandir Road, Borsad",Akshar Surgical Hospital,0,0,0,"Surya Mandir Road, Borsad",Gujarat,Anand,0,388540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6275,NA,"Opp- Borsad Nagrik Bank,Borsad",Hiral Hospital,0,0,0,"Opp- Borsad Nagrik Bank,Borsad",Gujarat,Anand,0,388540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6276,"22.4171034, 72.896708",Borsad,Jaideep Eye Hospital,0,0,0,Borsad,Gujarat,Anand,0,388540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6277,NA,"P.Chandra Tower.1St Floor,Anand Chokdi,Borsad",Jalaram Hospital,0,0,0,"P.Chandra Tower.1St Floor,Anand Chokdi,Borsad",Gujarat,Anand,0,388540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6278,NA,"Near Amdavadi Darvaja, Baliyadev Road, Borsad",Krishna Hospital,0,0,0,"Near Amdavadi Darvaja, Baliyadev Road, Borsad",Gujarat,Anand,0,388540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6279,NA,"Silver Point, Opposite Bus Stand, Borsad",Mahavir Nursing Home,0,0,0,"Silver Point, Opposite Bus Stand, Borsad",Gujarat,Anand,0,388540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6280,NA,Suryamandir Road,Maruti Orthopaedic Hospital,0,0,0,Suryamandir Road,Gujarat,Anand,0,388540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6281,NA,"Sun Temple Road,Borsad",Maruti Orthosurgical Hospital,0,0,0,"Sun Temple Road,Borsad",Gujarat,Anand,0,388540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6282,NA,"Opposite To Zakli Talav,Near Bus Stand",Medicare Hospital,0,0,0,"Opposite To Zakli Talav,Near Bus Stand",Gujarat,Anand,0,388540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6283,NA,"Nirmit Hospital, Above Satsang Mandal Hall, Patel Chakla, Borsad. -Anand",Nirmit Hospital,0,0,0,"Nirmit Hospital, Above Satsang Mandal Hall, Patel Chakla, Borsad",Gujarat,Anand,0,388540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6284,NA,"Mali Chakla, Near Narayandev Mandir, Borsad, -Anand",Nutan General Hospital,0,0,0,"Mali Chakla, Near Narayandev Mandir, Borsad",Gujarat,Anand,0,388540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6285,NA,"Opposite Zakli Talav, Nr. Bus Stand, Borsad",Pooja Nursing Home,0,0,0,"Opposite Zakli Talav, Nr. Bus Stand, Borsad",Gujarat,Anand,0,388540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6286,"22.4171034, 72.896708","Gandhiganj, Borsad",Priya Hospital,0,0,0,"Gandhiganj, Borsad",Gujarat,Anand,0,388540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6287,"22.4171034, 72.896708",Borsad,Roberts Mission Hospital,0,0,0,Borsad,Gujarat,Anand,0,388540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
6288,"22.4171034, 72.896708",Borsad,Shahhvat Children Hospital,0,0,0,Borsad,Gujarat,Anand,0,388540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,482
